ID,Region,Duration,Winner,Hero1,K1,D1,A1,XPM1,GPM1,DMG1,Hero2,K2,D2,A2,XPM2,GPM2,DMG2,Hero3,K3,D3,A3,XPM3,GPM3,DMG3,Hero4,K4,D4,A4,XPM4,GPM4,DMG4,Hero5,K5,D5,A5,XPM5,GPM5,DMG5,Hero6,K6,D6,A6,XPM6,GPM6,DMG6,Hero7,K7,D7,A7,XPM7,GPM7,DMG7,Hero8,K8,D8,A8,XPM8,GPM8,DMG8,Hero9,K9,D9,A9,XPM9,GPM9,DMG9,Hero10,K10,D10,A10,XPM10,GPM10,DMG10
2286004686,China,40:22,Dire,dazzle,2,11,15,303,247,5.6k,shadow-fiend,8,6,5,651,529,15.3k,pudge,9,10,15,295,289,12.5k,lina,3,15,6,290,263,6.6k,sven,3,10,8,466,406,6.2k,slark,24,3,11,803,729,30.1k,lion,6,8,11,307,317,7.9k,ursa,8,6,16,660,515,19.7k,invoker,7,8,15,517,493,12.3k,batrider,3,3,12,387,332,5.2k
2285961665,Europe West,45:02,Dire,bounty-hunter,6,12,17,303,324,8.5k,tidehunter,2,5,16,360,304,7k,spectre,3,7,17,566,472,12.3k,zeus,11,7,15,478,445,25.1k,lion,5,8,9,265,254,4.9k,windranger,8,9,6,476,476,12.9k,slark,16,2,7,720,828,19.3k,crystal-maiden,4,7,8,222,281,4.5k,lone-druid,7,3,23,719,682,15.6k,bane,3,7,14,312,291,7.1k
2285991324,China,33:24,Radiant,doom,9,4,17,403,430,12.8k,omniknight,1,3,16,336,305,5.1k,ember-spirit,9,3,8,521,490,10.3k,batrider,5,3,18,446,418,7.2k,viper,9,5,16,540,479,17.8k,jakiro,2,8,12,348,260,5.5k,tidehunter,1,5,11,359,291,11.8k,alchemist,2,9,12,445,540,10.1k,spectre,7,5,5,392,401,12k,spirit-breaker,3,6,9,313,289,4.4k
2285941421,SE Asia,38:11,Radiant,sven,10,5,11,688,741,14.4k,bounty-hunter,4,7,20,357,418,5.5k,dark-seer,6,3,16,499,555,10.9k,venomancer,2,9,15,364,455,10.7k,witch-doctor,2,3,12,326,332,2.5k,outworld-devourer,6,6,6,476,493,8k,ogre-magi,2,6,10,308,270,3.9k,slardar,3,4,11,380,328,5.5k,io,7,6,11,250,234,8.4k,chaos-knight,9,2,12,615,563,16.6k
2285924695,China,38:25,Dire,lina,10,4,8,725,547,18.7k,witch-doctor,9,8,16,384,330,11.2k,slark,6,5,17,563,429,14.9k,faceless-void,5,6,14,497,392,4.6k,earth-spirit,2,7,15,354,242,7.1k,lycan,3,3,12,562,558,7.6k,wraith-king,9,4,12,736,555,13.5k,broodmother,6,16,4,466,506,11.7k,tidehunter,4,5,21,758,549,13.7k,shadow-shaman,8,6,11,473,450,8.8k
2285946942,China,27:16,Radiant,batrider,12,3,23,708,550,17.1k,enchantress,4,4,15,355,321,6.9k,ember-spirit,18,2,16,766,605,19.6k,witch-doctor,5,8,15,337,286,7.6k,faceless-void,5,3,14,574,448,6.2k,tusk,3,10,10,364,292,8k,lina,4,10,5,405,353,8.3k,necrophos,6,5,6,466,402,7.3k,bounty-hunter,6,14,7,300,346,6.5k,lone-druid,0,6,4,427,371,5.7k
2285933287,Europe West,28:04,Dire,spirit-breaker,3,7,13,218,280,2.9k,invoker,7,9,5,462,440,10.5k,disruptor,1,7,13,249,241,3.6k,queen-of-pain,8,4,7,439,452,11.3k,faceless-void,2,5,8,327,292,5.5k,juggernaut,8,2,5,583,724,10k,beastmaster,3,7,10,462,402,4.3k,lion,2,6,9,338,357,4.4k,vengeful-spirit,1,5,10,241,300,3.2k,templar-assassin,18,2,4,811,820,21.2k
2285875404,China,44:47,Dire,omniknight,4,3,17,462,357,7.8k,ursa,22,11,11,598,514,35.3k,faceless-void,11,7,20,504,464,16.9k,bounty-hunter,5,13,33,439,405,13.2k,warlock,7,10,24,427,483,27.6k,lich,9,9,24,375,372,13.4k,natures-prophet,7,15,25,413,432,14.4k,undying,9,11,25,507,419,12.8k,spirit-breaker,7,10,24,397,332,13.5k,alchemist,11,5,21,724,893,39k
2285886222,China,38:36,Radiant,luna,17,5,9,840,763,19.5k,templar-assassin,8,4,14,775,643,16.6k,lifestealer,4,1,13,582,507,10.2k,tidehunter,2,6,17,485,382,5.8k,ancient-apparition,1,6,11,197,252,3.8k,omniknight,2,8,9,289,249,4.3k,alchemist,0,9,6,383,485,3.7k,invoker,8,4,3,532,497,9.8k,natures-prophet,4,4,10,358,373,6.1k,slark,8,8,7,479,377,13.7k
2285896339,SE Asia,15:28,Dire,lion,0,5,2,175,154,2.6k,spectre,1,3,0,322,314,2.6k,chen,2,2,1,170,231,3.7k,outworld-devourer,1,5,2,348,326,4.6k,earthshaker,0,7,3,158,162,4.5k,vengeful-spirit,3,2,9,291,466,3.5k,doom,4,0,12,341,522,4.5k,puck,4,2,6,377,547,8.4k,juggernaut,6,0,8,449,679,5.4k,natures-prophet,5,0,14,468,709,8.9k
2285854079,China,33:51,Radiant,ancient-apparition,2,4,15,224,278,7.6k,juggernaut,12,2,4,577,631,14.4k,wraith-king,4,4,17,528,468,10.3k,bounty-hunter,6,6,23,338,460,7.8k,invoker,12,4,17,623,628,21.4k,slark,4,6,4,424,403,7.8k,phoenix,6,5,8,431,321,18.7k,lion,4,8,8,287,307,6.9k,slardar,0,9,5,308,241,4.3k,alchemist,2,9,8,374,457,8.6k
2285797469,China,46:25,Radiant,outworld-devourer,10,2,13,547,477,12.9k,anti-mage,10,3,3,699,817,12k,night-stalker,3,0,19,542,429,6.5k,enchantress,7,4,15,341,307,8k,vengeful-spirit,1,6,20,316,250,3.7k,invoker,5,4,6,475,579,12.6k,sven,1,4,11,325,321,6.6k,lion,0,7,8,211,203,3k,gyrocopter,3,9,7,382,358,8k,lich,6,7,7,262,252,5.6k
2285831760,China,32:24,Dire,faceless-void,7,8,16,649,484,10.2k,bounty-hunter,0,6,12,204,246,6.3k,anti-mage,3,8,11,632,454,6.9k,ancient-apparition,2,7,6,199,204,4.7k,queen-of-pain,10,11,6,421,424,8.6k,juggernaut,11,5,7,496,550,14.2k,outworld-devourer,14,4,10,669,592,20.4k,doom,6,8,8,459,474,11.2k,witch-doctor,5,6,11,311,335,5.2k,pudge,2,3,16,400,324,9.2k
